Random,Python Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),,,
0.593288228,32.25,6,0,9.92,0.37,-0.01,89.12,4.72,29.19,29.98,0,,277,,42370.00
0.24838967,32.29,7,0,10,0.47,-0.04,90.08,6,29.2,29.99,84.29,,,,
0.912394891,32.33,8,0.14,9.92,0.89,0.3,92,2.76,29.22,30.01,531,,,,
0.397270936,32.38,9,0.92,10,1.97,0.41,86.12,5.56,29.24,30.04,923.75,,,,
0.122667084,32.42,10,0.46,10,3.15,1.07,82.48,2.12,29.27,30.06,1947.75,,,,
0.291888753,32.46,11,0.42,10,4.5,1.05,75.88,0,29.27,30.06,3562,,,,
0.48761186,32.50,12,0,10,6.16,1.26,68.96,0,29.26,30.05,4236.5,,,,
0.004085988,32.54,13,0,10,7.56,1.41,64.48,0,29.25,30.04,3913,,,,
0.843480934,32.58,14,0,10,8.47,0.63,57.12,3.72,29.24,30.03,3189.25,,,,
0.500086417,32.63,15,0,10,8.78,-0.2,51.76,2.04,29.23,30.02,1687.75,,,,
0.168539823,32.67,16,0,10,8.49,-0.21,54.2,3.2,29.24,30.03,453.93,,,,
0.465382522,32.71,17,0,10,5.86,0.44,64.64,3.16,29.26,30.05,9.13,,,,
0.618182796,33.25,6,0.92,5.04,2.07,0.54,89.8,14.08,29.19,29.98,0,,,,
0.850873511,33.29,7,0.92,5.76,2.51,0.67,86.8,18,29.13,29.92,31.35,,,,
0.978331383,33.33,8,0.92,5,2.63,1.06,88.84,17.92,29.08,29.87,116.1,,,,
0.792675269,33.38,9,1,6.35,3.34,1.65,86.89,18.3,29.01,29.81,172.5,,,,
0.328992358,33.42,10,0.99,5.22,3.95,2.22,87.26,20.18,28.95,29.75,205,,,,
0.427110909,33.46,11,1,7.35,5.04,3.16,86.38,21.5,28.9,29.68,274,,,,
0.385439027,33.50,12,1,5.93,6.34,4.93,90.56,20.46,28.85,29.64,325,,,,
0.599304323,33.54,13,1,1,7.96,7.07,97.28,17.56,28.81,29.59,256.5,,,,
0.852236911,33.58,14,1,0.92,9.99,9.27,97.38,15.76,28.76,29.54,133.75,,,,
0.530502322,33.63,15,1,3.15,11.87,11.02,96,20.92,28.72,29.5,182.5,,,,
0.422779059,33.67,16,1,4.68,12.79,11.72,95.2,17.96,28.71,29.49,115.5,,,,
0.788410178,33.71,17,0.83,7.26,13.51,12.56,94.26,17.15,28.69,29.47,2.93,,,,
0.46134433,34.25,6,0.16,10,2.47,0.22,79.12,15.36,28.83,29.61,0.68,,,,
0.598713434,34.29,7,0.56,10,1.86,-0.17,81.04,11.72,28.85,29.63,303.38,,,,
0.481609212,34.33,8,0.98,10,2.47,0.23,80.04,15.23,28.88,29.67,327.75,,,,
0.965630743,34.38,9,1,10,3.14,0.42,79,20.56,28.91,29.7,337.75,,,,
0.859449784,34.42,10,1,10,3.13,1.02,81.88,19.4,28.94,29.73,205,,,,
0.273456532,34.46,11,1,7.44,2.78,1.22,86.8,21.4,28.96,29.75,250.5,,,,
0.094896442,34.50,12,1,5.3,2.05,1.05,88.7,22.35,28.98,29.77,378.75,,,,
0.240270834,34.54,13,1,9.74,1.58,0.39,88.58,21.59,29,29.79,310,,,,
0.045615433,34.58,14,1,9.89,1.1,-0.08,87.56,22.57,29.05,29.84,256.25,,,,
0.17133591,34.63,15,1,10,0.31,-0.77,88.58,19,29.08,29.88,353.75,,,,
0.261491385,34.67,16,1,10,-0.22,-1.66,85.76,21.16,29.13,29.92,62.8,,,,
0.665362,34.71,17,1,10,-0.54,-2.36,84.2,19.72,29.17,29.96,0.74,,,,
0.19587902,35.25,6,1,10,-4.76,-7.75,75.92,13.68,29.42,30.22,0,,,,
0.9602992,35.29,7,0.42,10,-5.41,-8.68,75.44,12.08,29.45,30.25,243.54,,,,
0.92129932,35.33,8,0.3,10,-5.49,-8.8,74.57,11.88,29.46,30.26,1750.25,,,,
0.488732689,35.38,9,0.29,10,-4.75,-8.5,71.64,12.6,29.48,30.28,3386,,,,
0.984044247,35.42,10,0.15,10,-3.81,-8.15,69.84,10.76,29.49,30.29,4258.25,,,,
0.660346636,35.46,11,0,10,-2.86,-7.78,66.84,8.72,29.47,30.27,4610.25,,,,
0.287559228,35.50,12,0.28,10,-1.92,-6.76,67.72,10.44,29.46,30.26,4617.25,,,,
0.061317478,35.54,13,0,10,-1.19,-6.52,64.52,10.64,29.45,30.25,4278.25,,,,
0.16666294,35.58,14,0,10,-0.49,-6.05,64.84,8.08,29.44,30.24,3491.75,,,,
0.653784558,35.63,15,0,10,0.1,-5.54,63.8,8.72,29.45,30.25,1941,,,,
0.023613433,35.67,16,0,10,0.12,-5.36,64.96,7.68,29.47,30.27,542,,,,
0.35662422,35.71,17,0,10,-0.6,-4.66,69.2,4.84,29.49,30.29,12.84,,,,
0.932763119,36.25,6,0.56,9.96,-3.37,-4.33,87.27,7.23,29.53,30.33,0.37,,,,
0.562099292,36.29,7,0.98,6.42,-2.93,-3.86,87.58,9.42,29.55,30.35,107.35,,,,
0.801318438,36.33,8,0.92,9.73,-2.74,-4.65,84.08,10,29.57,30.37,652.25,,,,
0.044072377,36.38,9,0.75,10,-1.9,-4.38,76.42,11.31,29.58,30.38,768.25,,,,
0.771166259,36.42,10,1,10,-1.58,-4.41,75.62,8.85,29.59,30.39,1127,,,,
0.007268746,36.46,11,1,10,-1.34,-4.07,77.04,8.64,29.59,30.39,1213.5,,,,
0.598758474,36.50,12,1,10,-0.96,-4.04,76.92,8.72,29.58,30.38,1881.5,,,,
0.066181083,36.54,13,1,10,-0.57,-4.03,74.76,6.04,29.56,30.36,1567.25,,,,
0.838800987,36.58,14,1,10,-0.35,-4.03,74.76,7.36,29.57,30.37,1291.25,,,,
0.665924677,36.63,15,1,10,-0.1,-4.1,72.84,6.36,29.57,30.37,710.25,,,,
0.937697904,36.67,16,1,10,-0.15,-3.85,74.76,5,29.58,30.38,304.13,,,,
0.658635168,36.71,17,0.97,10,-0.7,-4.07,75.56,4.74,29.58,30.39,10.74,,,,
0.732265536,37.25,6,1,7,-3.27,-4.39,91.72,3.8,29.51,30.31,1.51,,,,
0.757492799,37.29,7,0.79,5.68,-3.21,-3.66,91.04,4.28,29.52,30.32,228.13,,,,
0.494767867,37.33,8,0.16,5,-2.18,-3.15,89.92,6.92,29.52,30.32,1652.75,,,,
0.816372648,37.38,9,0,5.72,-0.32,-2.05,87.56,7.36,29.52,30.32,3167.75,,,,
0.287614229,37.42,10,0,9.92,1.93,-1.72,75.16,8.04,29.51,30.31,3987.75,,,,
0.68133719,37.46,11,0,10,3.8,-0.97,67.88,8,29.48,30.28,4331.5,,,,
0.700027854,37.50,12,0,10,5.39,-0.72,63.4,7.76,29.45,30.25,4356.25,,,,
0.122855496,37.54,13,0,10,6.66,-0.11,59.92,10,29.43,30.23,4026.75,,,,
0.347168677,37.58,14,0,10,7.49,0.37,59.76,10.76,29.4,30.2,3248.5,,,,
0.238007808,37.63,15,0,10,7.66,0.49,60.8,10.32,29.39,30.19,1842.5,,,,
0.371391813,37.67,16,0,10,7.07,0.93,62.8,7.48,29.39,30.19,514.75,,,,
0.602898225,37.71,17,0,10,4.04,0.98,75.36,5.4,29.38,30.18,16.83,,,,
0.47020334,38.25,6,0.14,10,2.15,-0.82,76.12,12.28,29.18,29.97,0.79,,,,
0.348186304,38.29,7,0,10,2.4,-0.89,70.36,12.28,29.16,29.95,271.78,,,,
0.432048162,38.33,8,0,10,2.96,-0.76,71.08,16.6,29.15,29.94,1249.5,,,,
0.451432937,38.38,9,0,10,3.96,-0.61,70.2,17.96,29.12,29.91,3165.5,,,,
0.260256009,38.42,10,0,10,5.85,0.49,66.92,19.24,29.11,29.9,3874.25,,,,
0.670668076,38.46,11,0,10,7.77,1.47,62.8,19.36,29.08,29.87,3550.5,,,,
0.175672012,38.50,12,0,10,8.82,1.47,60.16,18.88,29.05,29.84,4285.25,,,,
0.942794229,38.54,13,0.28,10,9.12,2.36,61.36,18,29.03,29.82,2876.25,,,,
0.291352574,38.58,14,0.28,10,8.98,2.42,62.4,18.88,29.01,29.8,2008.25,,,,
0.245128207,38.63,15,0.14,10,8.28,2.25,63.8,17.8,29.01,29.8,922.75,,,,
0.298058678,38.67,16,0.14,10,7.12,2.37,70.68,13.28,29.03,29.82,334.75,,,,
0.360328301,38.71,17,0.15,10,5.74,2.05,71.64,12.44,29.04,29.83,19.33,,,,
0.17481971,39.25,6,1,6.7,0.54,-0.05,92,8.37,28.89,29.67,0,,,,
0.762395491,39.29,7,1,3.22,0.04,-0.73,92.82,10.85,28.89,29.68,44.17,,,,
0.332151329,39.33,8,1,8,-0.89,-1.85,89.8,14.64,28.91,29.69,112.35,,,,
0.939445997,39.38,9,1,9.96,-2.34,-4.65,79.04,18.16,28.92,29.71,341,,,,
